population_density,people_fully_vaccinated,new_cases
351.873,0,1.0
351.873,0,0.0
351.873,0,0.0
351.873,0,1.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,1.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,0.0
351.873,0,2.0
351.873,0,1.0
351.873,0,4.0
351.873,0,10.0
351.873,0,13.0
351.873,0,16.0
351.873,0,3.0
351.873,0,12.0
351.873,0,47.0
351.873,0,29.0
351.873,0,2.0
351.873,0,45.0
351.873,0,15.0
351.873,0,15.0
351.873,0,13.0
351.873,0,77.0
351.873,0,73.0
351.873,0,82.0
351.873,0,90.0
351.873,0,84.0
351.873,0,71.0
351.873,0,96.0
351.873,0,272.0
351.873,0,343.0
351.873,0,128.0
351.873,0,538.0
351.873,0,227.0
351.873,0,322.0
351.873,0,385.0
351.873,0,76.0
351.873,0,152.0
351.873,0,414.0
351.873,0,104.0
351.873,0,106.0
351.873,0,206.0
351.873,0,119.0
351.873,0,233.0
351.873,0,220.0
351.873,0,284.0
351.873,0,291.0
351.873,0,230.0
351.873,0,207.0
351.873,0,218.0
351.873,0,209.0
351.873,0,172.0
351.873,0,200.0
351.873,0,140.0
351.873,0,111.0
351.873,0,271.0
351.873,0,211.0
351.873,0,102.0
351.873,0,285.0
351.873,0,198.0
351.873,0,181.0
351.873,0,254.0
351.873,0,276.0
351.873,0,284.0
351.873,0,156.0
351.873,0,295.0
351.873,0,262.0
351.873,0,199.0
351.873,0,320.0
351.873,0,339.0
351.873,0,120.0
351.873,0,147.0
351.873,0,184.0
351.873,0,292.0
351.873,0,264.0
351.873,0,268.0
351.873,0,258.0
351.873,0,215.0
351.873,0,214.0
351.873,0,208.0
351.873,0,205.0
351.873,0,224.0
351.873,0,279.0
351.873,0,213.0
351.873,0,163.0
351.873,0,180.0
351.873,0,258.0
351.873,0,284.0
351.873,0,350.0
351.873,0,380.0
351.873,0,539.0
351.873,0,1046.0
351.873,0,590.0
351.873,0,862.0
351.873,0,552.0
351.873,0,359.0
351.873,0,751.0
351.873,0,634.0
351.873,0,244.0
351.873,0,714.0
351.873,0,555.0
351.873,0,579.0
351.873,0,518.0
351.873,0,740.0
351.873,0,443.0
351.873,0,612.0
351.873,0,605.0
351.873,0,538.0
351.873,0,490.0
351.873,0,361.0
351.873,0,457.0
351.873,0,561.0
351.873,0,660.0
351.873,0,941.0
351.873,0,652.0
351.873,0,630.0
351.873,0,1143.0
351.873,0,470.0
351.873,0,774.0
351.873,0,1004.0
351.873,0,730.0
351.873,0,652.0
351.873,0,983.0
351.873,0,1076.0
351.873,0,997.0
351.873,0,294.0
351.873,0,1531.0
351.873,0,1494.0
351.873,0,2424.0
351.873,0,2079.0
351.873,0,1540.0
351.873,0,2486.0
351.873,0,1395.0
351.873,0,1160.0
351.873,0,1308.0
351.873,0,2037.0
351.873,0,747.0
351.873,0,539.0
351.873,0,1305.0
351.873,0,2416.0
351.873,0,1735.0
351.873,0,2303.0
351.873,0,2152.0
351.873,0,1442.0
351.873,0,1866.0
351.873,0,1505.0
351.873,0,2121.0
351.873,0,2054.0
351.873,0,1968.0
351.873,0,2036.0
351.873,0,1592.0
351.873,0,1633.0
351.873,0,1813.0
351.873,0,3888.0
351.873,0,3980.0
351.873,0,4878.0
351.873,0,4953.0
351.873,0,3145.0
351.873,0,6263.0
351.873,0,3387.0
351.873,0,3480.0
351.873,0,3294.0
351.873,0,4131.0
351.873,0,3028.0
351.873,0,6725.0
351.873,0,2900.0
351.873,0,4211.0
351.873,0,3777.0
351.873,0,6134.0
351.873,0,4258.0
351.873,0,3335.0
351.873,0,3221.0
351.873,0,4739.0
351.873,0,4561.0
351.873,0,4248.0
351.873,0,4343.0
351.873,0,4884.0
351.873,0,2352.0
351.873,0,4651.0
351.873,0,2912.0
351.873,0,5197.0
351.873,0,3220.0
351.873,0,3963.0
351.873,0,3587.0
351.873,0,4265.0
351.873,0,3423.0
351.873,0,3445.0
351.873,0,2176.0
351.873,0,1963.0
351.873,0,3669.0
351.873,0,2498.0
351.873,0,2795.0
351.873,0,1362.0
351.873,0,3260.0
351.873,0,3156.0
351.873,0,3804.0
351.873,0,4017.0
351.873,0,4899.0
351.873,0,3353.0
351.873,0,4672.0
351.873,0,3519.0
351.873,0,3527.0
351.873,0,3355.0
351.873,0,3237.0
351.873,0,3934.0
351.873,0,3283.0
351.873,0,3447.0
351.873,0,1599.0
351.873,0,2802.0
351.873,0,2164.0
351.873,0,2606.0
351.873,0,1895.0
351.873,0,2970.0
351.873,0,3062.0
351.873,0,2015.0
351.873,0,2391.0
351.873,0,2385.0
351.873,0,2599.0
351.873,0,2652.0
351.873,0,3167.0
351.873,0,2265.0
351.873,0,2071.0
351.873,0,2804.0
351.873,0,2232.0
351.873,0,2901.0
351.873,0,2156.0
351.873,0,2415.0
351.873,0,3475.0
351.873,0,1897.0
351.873,0,1823.0
351.873,0,2162.0
351.873,0,3052.0
351.873,0,2588.0
351.873,0,2280.0
351.873,0,2551.0
351.873,0,1606.0
351.873,0,1468.0
351.873,0,1645.0
351.873,0,1911.0
351.873,0,2020.0
351.873,0,2209.0
351.873,0,1602.0
351.873,0,1514.0
351.873,0,2036.0
351.873,0,1755.0
351.873,0,1998.0
351.873,0,1796.0
351.873,0,2384.0
351.873,0,2287.0
351.873,0,1761.0
351.873,0,976.0
351.873,0,1588.0
351.873,0,2084.0
351.873,0,2152.0
351.873,0,2434.0
351.873,0,2054.0
351.873,0,1300.0
351.873,0,1667.0
351.873,0,1404.0
351.873,0,1893.0
351.873,0,1624.0
351.873,0,1501.0
351.873,0,1736.0
351.873,0,1144.0
351.873,0,1379.0
351.873,0,1333.0
351.873,0,1637.0
351.873,0,1785.0
351.873,0,1966.0
351.873,0,1796.0
351.873,0,1108.0
351.873,0,1193.0
351.873,0,1382.0
351.873,0,1621.0
351.873,0,1879.0
351.873,0,2067.0
351.873,0,1766.0
351.873,0,1295.0
351.873,0,1432.0
351.873,0,1056.0
351.873,0,932.0
351.873,0,1724.0
351.873,0,1765.0
351.873,0,1565.0
351.873,0,1386.0
351.873,0,1379.0
351.873,0,1376.0
351.873,0,1499.0
351.873,0,1292.0
351.873,0,1069.0
351.873,0,1333.0
351.873,0,1106.0
351.873,0,1149.0
351.873,0,1459.0
351.873,0,2115.0
351.873,0,1482.0
351.873,0,1745.0
351.873,0,1716.0
351.873,0,1310.0
351.873,0,1189.0
351.873,0,1720.0
351.873,0,1877.0
351.873,0,1404.0
351.873,0,881.0
351.873,0,764.0
351.873,0,876.0
351.873,0,1006.0
351.873,0,1532.0
351.873,0,1756.0
351.873,0,1096.0
351.873,0,891.0
351.873,0,954.0
351.873,0,932.0
351.873,0,1044.0
351.873,0,1346.0
351.873,0,1769.0
351.873,0,1945.0
351.873,0,1893.0
351.873,0,2046.0
351.873,0,1522.0
351.873,0,1442.0
351.873,0,1905.0
351.873,0,2041.0
351.873,0,2045.0
351.873,0,1886.0
351.873,0,2159.0
351.873,0,1348.0
351.873,0,1855.0
351.873,0,1778.0
351.873,0,2170.0
351.873,0,1792.0
351.873,0,1940.0
351.873,0,1377.0
351.873,0,1170.0
351.873,0,2241.0
351.873,0,1168.0
351.873,0,1838.0
351.873,0,2103.0
351.873,0,2102.0
351.873,0,1654.0
351.873,0,1581.0
351.873,0,1265.0
351.873,0,1581.0
351.873,0,1888.0
351.873,0,1934.0
351.873,0,1789.0
351.873,0,1685.0
351.873,0,1232.0
351.873,0,1333.0
351.873,0,1722.0
351.873,0,2018.0
351.873,0,1955.0
351.873,0,1921.0
351.873,0,1684.0
351.873,0,1386.0
351.873,0,1178.0
351.873,0,1739.0
351.873,0,1895.0
351.873,0,2230.0
351.873,0,1881.0
351.873,0,2287.0
351.873,0,1409.0
351.873,0,1555.0
351.873,0,2260.0
351.873,0,2647.0
351.873,0,2920.0
351.873,0,2105.0
351.873,0,2029.0
351.873,0,2061.0
351.873,0,1781.0
351.873,0,2444.0
351.873,0,3037.0
351.873,0,3434.0
351.873,0,3274.0
351.873,0,3351.0
351.873,0,2665.0
351.873,0,2880.0
351.873,0,3740.0
351.873,0,4570.0
351.873,0,4993.0
351.873,0,4887.0
351.873,0,5395.0
351.873,0,4427.0
351.873,0,4378.0
351.873,0,5286.0
351.873,0,7082.0
351.873,0,7990.0
351.873,0,7738.0
351.873,0,7998.0
351.873,0,5861.0
351.873,0,6658.0
351.873,0,8737.0
351.873,0,9808.0
351.873,0,9586.0
351.873,0,9450.0
351.873,0,10002.0
351.873,1344.0,9287.0
351.873,0,6107.0
351.873,0,8911.0
351.873,0,15298.0
351.873,0,12546.0
351.873,0,11008.0
351.873,28850.0,8347.0
351.873,50685.0,9362.0
351.873,0,6404.0
351.873,0,9202.0
351.873,0,12188.0
351.873,0,12655.0
351.873,132288.0,11659.0
351.873,149041.0,11357.0
351.873,162065.0,8558.0
351.873,0,8097.0
351.873,0,11405.0
351.873,0,10686.0
351.873,191982.0,11081.0
351.873,0,10081.0
351.873,198534.0,9612.0
351.873,209456.0,7361.0
351.873,214792.0,9201.0
351.873,0,8742.0
351.873,0,8691.0
351.873,230769.0,9640.0
351.873,0,8143.0
