population_density,people_fully_vaccinated,new_cases
124.027,0,1.0
124.027,0,0.0
124.027,0,4.0
124.027,0,0.0
124.027,0,6.0
124.027,0,5.0
124.027,0,6.0
124.027,0,9.0
124.027,0,18.0
124.027,0,19.0
124.027,0,35.0
124.027,0,16.0
124.027,0,58.0
124.027,0,61.0
124.027,0,13.0
124.027,0,104.0
124.027,0,70.0
124.027,0,111.0
124.027,0,98.0
124.027,0,115.0
124.027,0,152.0
124.027,0,150.0
124.027,0,170.0
124.027,0,168.0
124.027,0,249.0
124.027,0,224.0
124.027,0,193.0
124.027,0,256.0
124.027,0,243.0
124.027,0,392.0
124.027,0,437.0
124.027,0,244.0
124.027,0,475.0
124.027,0,311.0
124.027,0,435.0
124.027,0,357.0
124.027,0,370.0
124.027,0,380.0
124.027,0,401.0
124.027,0,318.0
124.027,0,260.0
124.027,0,268.0
124.027,0,380.0
124.027,0,336.0
124.027,0,461.0
124.027,0,363.0
124.027,0,545.0
124.027,0,306.0
124.027,0,263.0
124.027,0,313.0
124.027,0,342.0
124.027,0,381.0
124.027,0,381.0
124.027,0,344.0
124.027,0,285.0
124.027,0,316.0
124.027,0,422.0
124.027,0,237.0
124.027,0,228.0
124.027,0,270.0
124.027,0,318.0
124.027,0,313.0
124.027,0,425.0
124.027,0,309.0
124.027,0,307.0
124.027,0,319.0
124.027,0,285.0
124.027,0,345.0
124.027,0,330.0
124.027,0,595.0
124.027,0,283.0
124.027,0,411.0
124.027,0,401.0
124.027,0,241.0
124.027,0,272.0
124.027,0,356.0
124.027,0,383.0
124.027,0,471.0
124.027,0,404.0
124.027,0,476.0
124.027,0,312.0
124.027,0,395.0
124.027,0,305.0
124.027,0,443.0
124.027,0,399.0
124.027,0,352.0
124.027,0,330.0
124.027,0,416.0
124.027,0,215.0
124.027,0,379.0
124.027,0,230.0
124.027,0,292.0
124.027,0,361.0
124.027,0,362.0
124.027,0,576.0
124.027,0,575.0
124.027,0,599.0
124.027,0,400.0
124.027,0,282.0
124.027,0,359.0
124.027,0,376.0
124.027,0,440.0
124.027,0,375.0
124.027,0,396.0
124.027,0,407.0
124.027,0,506.0
124.027,0,314.0
124.027,0,301.0
124.027,0,304.0
124.027,0,311.0
124.027,0,296.0
124.027,0,300.0
124.027,0,294.0
124.027,0,298.0
124.027,0,276.0
124.027,0,319.0
124.027,0,193.0
124.027,0,247.0
124.027,0,239.0
124.027,0,382.0
124.027,0,371.0
124.027,0,259.0
124.027,0,314.0
124.027,0,231.0
124.027,0,205.0
124.027,0,257.0
124.027,0,277.0
124.027,0,262.0
124.027,0,265.0
124.027,0,305.0
124.027,0,370.0
124.027,0,299.0
124.027,0,267.0
124.027,0,264.0
124.027,0,333.0
124.027,0,353.0
124.027,0,339.0
124.027,0,358.0
124.027,0,279.0
124.027,0,399.0
124.027,0,380.0
124.027,0,418.0
124.027,0,458.0
124.027,0,584.0
124.027,0,443.0
124.027,0,337.0
124.027,0,502.0
124.027,0,512.0
124.027,0,615.0
124.027,0,657.0
124.027,0,658.0
124.027,0,548.0
124.027,0,575.0
124.027,0,680.0
124.027,0,640.0
124.027,0,726.0
124.027,0,809.0
124.027,0,843.0
124.027,0,624.0
124.027,0,619.0
124.027,0,551.0
124.027,0,715.0
124.027,0,811.0
124.027,0,832.0
124.027,0,771.0
124.027,0,594.0
124.027,0,595.0
124.027,0,597.0
124.027,0,735.0
124.027,0,767.0
124.027,0,903.0
124.027,0,900.0
124.027,0,581.0
124.027,0,548.0
124.027,0,763.0
124.027,0,729.0
124.027,0,887.0
124.027,0,791.0
124.027,0,759.0
124.027,0,631.0
124.027,0,502.0
124.027,0,550.0
124.027,0,595.0
124.027,0,612.0
124.027,0,691.0
124.027,0,567.0
124.027,0,437.0
124.027,0,302.0
124.027,0,400.0
124.027,0,421.0
124.027,0,506.0
124.027,0,594.0
124.027,0,603.0
124.027,0,502.0
124.027,0,377.0
124.027,0,605.0
124.027,0,600.0
124.027,0,837.0
124.027,0,757.0
